Time	ECG	Heart Rate
201.875	0.0630067	79.4702
201.88	0.000944827	79.4702
201.885	-0.0358965	79.4702
201.89	-0.0558985	79.4702
201.895	-0.064379	79.4702
201.9	-0.0664147	79.4702
201.905	-0.0673013	79.4702
201.91	-0.0673124	79.4702
201.915	-0.0643886	79.4702
201.92	-0.060524	79.4702
201.925	-0.057579	79.4702
201.93	-0.0536412	79.4702
201.935	-0.0490042	79.4702
201.94	-0.0458592	79.4702
201.945	-0.0429192	79.4702
201.95	-0.0392306	79.4702
201.955	-0.0355807	79.4702
201.96	-0.0297891	79.4702
201.965	-0.0203323	79.4702
201.97	-0.0109613	79.4702
201.975	-0.00402408	79.4702
201.98	0.00246658	79.4702
201.985	0.00837456	79.4702
201.99	0.0127895	79.4702
201.995	0.0184022	79.4702
202	0.0263079	79.4702
202.005	0.0346486	79.4702
202.01	0.0448949	79.4702
202.015	0.0603633	79.4702
202.02	0.0805486	79.4702
202.025	0.104107	79.4702
202.03	0.131207	79.4702
202.035	0.159413	79.4702
202.04	0.185622	79.4702
202.045	0.211043	79.4702
202.05	0.237491	79.4702
202.055	0.264097	79.4702
202.06	0.291415	79.4702
202.065	0.320072	79.4702
202.07	0.347079	79.4702
202.075	0.370188	79.4702
202.08	0.389966	79.4702
202.085	0.403678	79.4702
202.09	0.406165	79.4702
202.095	0.397159	79.4702
202.1	0.378142	79.4702
202.105	0.349211	79.4702
202.11	0.313164	79.4702
202.115	0.273957	79.4702
202.12	0.232414	79.4702
202.125	0.190161	79.4702
202.13	0.151798	79.4702
202.135	0.118918	79.4702
202.14	0.0914352	79.4702
202.145	0.0721606	79.4702
202.15	0.0616161	79.4702
202.155	0.0560218	79.4702
202.16	0.0517424	79.4702
202.165	0.0453948	79.4702
202.17	0.0340833	79.4702
202.175	0.0197139	79.4702
202.18	0.0081361	79.4702
202.185	0.00192309	79.4702
202.19	0.000714379	79.4702
202.195	0.00512074	79.4702
202.2	0.0129149	79.4702
202.205	0.0193674	79.4702
202.21	0.0241332	79.4702
202.215	0.028552	79.4702
202.22	0.0304061	79.4702
202.225	0.0290849	79.4702
202.23	0.0276357	79.4702
202.235	0.0263078	79.4702
202.24	0.0236318	79.4702
202.245	0.0207019	79.4702
202.25	0.0177576	79.4702
202.255	0.0131115	79.4702
202.26	0.00799592	79.4702
202.265	0.00400185	79.4702
202.27	-0.000510989	79.4702
202.275	-0.0055237	79.4702
202.28	-0.00820906	79.4702
202.285	-0.00917734	79.4702
202.29	-0.0106665	79.4702
202.295	-0.0118324	79.4702
